id,name,brand_id,address,district_id,price_min,price_max,price_avg,rating,review_count,shop_type,business_hours,is_24h,open_date,status,coordinates_lng,coordinates_lat
1,九龙坡区地道老火锅,,九龙坡区270号,5,110,181,133,4.6,1428,连锁,11:00-23:00,False,2018-06-02,1,106.5536647,29.5845347
2,渝北区地道老火锅,9,渝北区167号,8,110,159,124,4.6,1372,老字号,10:00-23:00,False,2020-07-18,1,106.5818199,29.5549949
3,开州区地道火锅,9,开州区493号,22,57,130,82,4.7,1460,社区店,11:00-23:00,False,2014-05-22,1,106.5117936,29.6127118
4,渝中区地道火锅,7,渝中区256号,1,85,132,95,3.8,2241,连锁,10:00-23:00,False,2023-06-08,1,106.5564747,29.6006769
5,江北区地道老火锅,4,江北区286号,2,77,126,102,4.5,636,连锁,9:00-23:00,False,2006-03-10,1,106.4906336,29.5760153
6,巫山县老老火锅,2,巫山县232号,31,103,153,124,4.5,3678,连锁,9:00-23:00,False,2009-11-29,1,106.5805088,29.5483955
7,渝北区地道火锅,1,渝北区8号,8,44,98,73,4.6,887,社区店,10:00-23:00,False,2024-05-25,1,106.5176771,29.5674756
8,巴南区地道火锅,4,巴南区162号,9,125,164,137,4.2,848,老字号,9:00-23:00,False,2018-04-25,1,106.5741912,29.5218648
9,沙坪坝区老火锅,9,沙坪坝区407号,4,40,96,60,3.8,4596,社区店,9:00-23:00,False,2011-05-30,1,106.5598042,29.6162596
10,开州区地道火锅,5,开州区115号,22,94,152,106,4.8,1278,连锁,00:00-24:00,True,2021-08-27,1,106.5565695,29.5644856
11,南岸区重庆老火锅,9,南岸区59号,3,104,164,115,4.0,4088,连锁,00:00-24:00,True,2012-07-14,1,106.4839568,29.5602745
12,奉节县老老火锅,8,奉节县470号,30,77,146,101,4.4,4531,连锁,9:00-23:00,False,2021-12-06,1,106.6215751,29.560819
13,九龙坡区地道火锅,7,九龙坡区173号,5,136,185,146,4.8,4362,连锁,9:00-23:00,False,2022-03-18,1,106.5414294,29.5233682
14,忠县地道老火锅,10,忠县390号,28,43,115,68,4.0,1954,社区店,11:00-23:00,False,2019-10-07,1,106.4822113,29.5292599
15,大足区重庆火锅,10,大足区216号,17,63,113,90,4.1,481,连锁,9:00-23:00,False,2015-01-12,1,106.5351082,29.526244
16,云阳县老火锅,3,云阳县126号,29,57,129,87,4.3,1694,老字号,10:00-23:00,False,2009-08-17,1,106.5337596,29.5632647
17,九龙坡区重庆火锅,7,九龙坡区477号,5,71,110,85,3.9,1673,社区店,11:00-23:00,False,2012-02-20,1,106.5633685,29.5909134
18,荣昌区老火锅,3,荣昌区205号,21,89,141,99,3.7,3266,连锁,11:00-23:00,False,2019-03-04,1,106.5593868,29.5877011
19,万州区地道火锅,8,万州区328号,10,67,132,93,4.8,1813,连锁,10:00-23:00,False,2014-03-13,1,106.5245485,29.5436764
20,江北区重庆火锅,2,江北区64号,2,212,289,241,3.8,2881,网红店,10:00-23:00,False,2023-10-01,1,106.4885799,29.5247931
21,巴南区地道老火锅,6,巴南区81号,9,195,271,222,3.5,3923,网红店,9:00-23:00,False,2020-04-25,1,106.5384503,29.5384083
22,巫山县重庆火锅,4,巫山县236号,31,128,173,145,3.6,1608,老字号,11:00-23:00,False,2011-08-25,1,106.5356608,29.5424858
23,江北区地道老火锅,8,江北区341号,2,61,100,79,4.5,4339,社区店,11:00-23:00,False,2014-10-20,1,106.5170771,29.573376
24,大渡口区地道老火锅,5,大渡口区4号,6,79,126,90,4.2,4139,社区店,9:00-23:00,False,2015-11-24,1,106.6132682,29.5508448
25,梁平区老老火锅,1,梁平区37号,23,75,108,85,3.7,1224,连锁,10:00-23:00,False,2019-11-22,1,106.5137031,29.5903221
26,渝北区老老火锅,1,渝北区71号,8,111,143,122,4.7,1399,连锁,10:00-23:00,False,2008-10-07,1,106.5291313,29.5379153
27,璧山区地道老火锅,2,璧山区1号,18,174,225,188,3.8,1883,网红店,10:00-23:00,False,2013-03-02,1,106.4949052,29.5744035
28,渝北区重庆火锅,6,渝北区62号,8,101,164,130,3.8,971,老字号,10:00-23:00,False,2019-12-14,1,106.5502388,29.5753356
29,渝北区地道老火锅,4,渝北区427号,8,85,133,103,4.8,318,老字号,11:00-23:00,False,2019-10-14,1,106.6100056,29.544379
30,沙坪坝区重庆火锅,9,沙坪坝区422号,4,126,167,144,4.8,1549,连锁,10:00-23:00,False,2018-05-21,1,106.5073115,29.590927
31,沙坪坝区地道老火锅,1,沙坪坝区30号,4,57,116,77,4.0,1520,社区店,9:00-23:00,False,2016-04-02,1,106.486983,29.6009093
32,沙坪坝区地道火锅,9,沙坪坝区398号,4,116,172,133,4.1,4779,网红店,10:00-23:00,False,2022-02-04,1,106.5530211,29.5655563
33,南岸区老火锅,4,南岸区378号,3,81,123,98,3.7,2262,老字号,11:00-23:00,False,2015-08-23,1,106.4828944,29.5685746
34,江北区老火锅,9,江北区396号,2,114,164,144,3.5,348,老字号,00:00-24:00,True,2024-08-12,1,106.5407951,29.5233124
35,江北区老火锅,5,江北区103号,2,35,103,61,4.8,642,社区店,10:00-23:00,False,2010-12-26,1,106.5304777,29.5440983
36,忠县老火锅,4,忠县24号,28,129,191,153,3.8,1516,网红店,10:00-23:00,False,2017-10-22,1,106.4814567,29.5162674
37,北碚区重庆老火锅,4,北碚区160号,7,92,133,106,4.6,1684,连锁,11:00-23:00,False,2007-08-25,1,106.5581313,29.6010068
